area,pi,rank,log(pi),rank2,,,,,,,,,,,
foliage,0.009485095,23,-2.022958322,,,,,,,,,,,,
foliage,0.012195122,17,-1.913813852,,,,,,,,,,,,
foliage,0.000677507,34,-3.169086357,,,,,,,,,,,,
foliage,0.002710027,29,-2.567026366,,,,,,,,,,,,
foliage,0.037940379,6,-1.42089833,,,,,,,,,,,,
foliage,0.024390244,11,-1.612783857,,,,,,,,,,,,
foliage,0.012195122,17,-1.913813852,,,,,,,,,,,,
foliage,0.031165312,7,-1.506328526,,,,,,,,,,,,
foliage,0.028455285,8,-1.545837067,,,,,,,,,,,,
foliage,0.025067751,10,-1.600884633,,,,,,,,,,,,
foliage,0.0399729,5,-1.398234346,,,,,,,,,,,,
foliage,0.011517615,19,-1.938637436,,,,,,,,,,,,
foliage,0.010162602,21,-1.992995098,,,,,,,,,,,,
foliage,0.000677507,34,-3.169086357,,,,,,,,,,,,
foliage,0.001355014,32,-2.868056362,,,,,,,,,,,,
foliage,0.008130081,26,-2.089905111,,,,,,,,,,,,
foliage,0.014905149,16,-1.826663677,,,,,,,,,,,,
foliage,0.00203252,31,-2.691965103,,,,,,,,,,,,
foliage,0.001355014,32,-2.868056362,,,,,,,,,,,,
foliage,0.006097561,27,-2.214843848,,,,,,,,,,,,
sediment,0.131165023,3,-0.882181961,,,,,,,,,,,,
sediment,0.010397227,14,-1.983082457,,,,,,,,,,,,
sediment,0.081844841,4,-1.087008689,,,,,,,,,,,,
sediment,0.065849107,5,-1.181450111,,,,,,,,,,,,
sediment,0.031991469,6,-1.494965818,,,,,,,,,,,,
sediment,0.206878166,2,-0.684285343,,,,,,,,,,,,
sediment,0.000266596,36,-3.574147064,,,,,,,,,,,,
sediment,0.280991736,1,-0.551306453,,,,,,,,,,,,
sediment,0.011197014,11,-1.950897774,,,,,,,,,,,,
sediment,0.005065316,21,-2.295393463,,,,,,,,,,,,
sediment,0.011197014,11,-1.950897774,,,,,,,,,,,,
sediment,0.01146361,10,-1.940678609,,,,,,,,,,,,
sediment,0.028525726,7,-1.544763286,,,,,,,,,,,,
sediment,0.000266596,36,-3.574147064,,,,,,,,,,,,
sediment,0.000799787,32,-3.097025809,,,,,,,,,,,,
sediment,0.004532125,23,-2.343698143,,,,,,,,,,,,
sediment,0.00239936,27,-2.619904555,,,,,,,,,,,,
sediment,0.003199147,25,-2.494965818,,,,,,,,,,,,
sediment,0.00479872,22,-2.318874559,,,,,,,,,,,,
sediment,0.008531058,16,-2.068997086,,,,,,,,,,,,
sediment,0.021327646,8,-1.671057077,,,,,,,,,,,,
sediment,0.007731272,18,-2.111749066,,,,,,,,,,,,
sediment,0.010663823,13,-1.972087073,,,,,,,,,,,,
sediment,0.008531058,16,-2.068997086,,,,,,,,,,,,
sediment,0.00906425,15,-2.042668147,,,,,,,,,,,,
sediment,0.005331911,20,-2.273117068,,,,,,,,,,,,
sediment,0.004532125,23,-2.343698143,,,,,,,,,,,,
sediment,0.01386297,9,-1.858143721,,,,,,,,,,,,
sediment,0.001332978,30,-2.87517706,,,,,,,,,,,,
sediment,0.000799787,32,-3.097025809,,,,,,,,,,,,
sediment,0.000266596,36,-3.574147064,,,,,,,,,,,,
sediment,0.000533191,34,-3.273117068,,,,,,,,,,,,
sediment,0.001066382,31,-2.972087073,,,,,,,,,,,,
sediment,0.002132765,28,-2.671057077,,,,,,,,,,,,
sediment,0.002132765,28,-2.671057077,,,,,,,,,,,,
sediment,0.000533191,34,-3.273117068,,,,,,,,,,,,
sediment,0.003199147,25,-2.494965818,,,,,,,,,,,,
sediment,0.005598507,19,-2.251927769,,,,,,,,,,,,
Total,0.198974529,1,-0.701202516,,,,,,,,,,,,
Total,0.01306649,17,-1.883841052,,,,,,,,,,,,
Total,0.06070129,5,-1.216802079,,,,,,,,,,,,
Total,0.062189878,4,-1.206280298,,,,,,,,,,,,
Total,0.027290771,7,-1.563984199,,,,,,,,,,,,
Total,0.134303672,3,-0.871912114,,,,,,,,,,,,
Total,0.002811776,31,-2.551019221,,,,,,,,,,,,
Total,0.18210387,2,-0.739680824,,,,,,,,,,,,
Total,0.015382071,15,-1.812985194,,,,,,,,,,,,
Total,0.01786305,10,-1.748044387,,,,,,,,,,,,
Total,0.016539861,11,-1.781468143,,,,,,,,,,,,
Total,0.008931525,21,-2.049074383,,,,,,,,,,,,
Total,0.051438968,6,-1.288707754,,,,,,,,,,,,
Total,0.000661594,37,-3.179408152,,,,,,,,,,,,
Total,0.001653986,35,-2.781468143,,,,,,,,,,,,
Total,0.012735693,18,-1.894977418,,,,,,,,,,,,
Total,0.006450546,23,-2.190403536,,,,,,,,,,,,
Total,0.004631161,28,-2.334310111,,,,,,,,,,,,
Total,0.00595435,25,-2.225165642,,,,,,,,,,,,
Total,0.005458154,26,-2.262954203,,,,,,,,,,,,
Total,0.016374462,12,-1.785832948,,,,,,,,,,,,
Total,0.025305987,8,-1.596776712,,,,,,,,,,,,
Total,0.016043665,13,-1.794696409,,,,,,,,,,,,
Total,0.010089315,20,-1.996138308,,,,,,,,,,,,
Total,0.016043665,13,-1.794696409,,,,,,,,,,,,
Total,0.013231889,16,-1.878378156,,,,,,,,,,,,
Total,0.012074099,19,-1.918145283,,,,,,,,,,,,
Total,0.020013232,9,-1.698682773,,,,,,,,,,,,
Total,0.004961958,27,-2.304346888,,,,,,,,,,,,
Total,0.004134965,29,-2.383528134,,,,,,,,,,,,
Total,0.000496196,39,-3.304346888,,,,,,,,,,,,
Total,0.00115779,36,-2.936370103,,,,,,,,,,,,
Total,0.002646378,32,-2.57734816,,,,,,,,,,,,
Total,0.006285147,24,-2.201684546,,,,,,,,,,,,
Total,0.002315581,33,-2.635340107,,,,,,,,,,,,
Total,0.000661594,37,-3.179408152,,,,,,,,,,,,
Total,0.006781343,22,-2.168684286,,,,,,,,,,,,
Total,0.002315581,33,-2.635340107,,,,,,,,,,,,
Total,0.003473371,30,-2.459248848,,,,,,,,,,,,
